timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime
0.118,3.2880,0.1173,0,0.0,true,1,19.5219,Progressive,0,0.3500,
0.218,3.3049,0.2222,0,0.0,true,1,19.5141,Progressive,0,0.3500,
0.334,3.3384,0.3556,0,0.0,true,1,19.4938,Progressive,0,0.3500,
0.434,3.3804,0.4864,0,0.0,true,1,19.4599,Progressive,0,0.3500,
0.551,3.4471,0.6654,0,0.0,true,1,19.3870,Progressive,0,0.3500,
0.667,3.5370,0.8832,0,0.0,false,1,19.2532,Progressive,0,0.3500,
0.717,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.050
0.784,3.5720,0.1519,0,0.0,false,1,18.7368,Progressive,0,0.3500,
0.884,3.5991,0.3922,0,0.0,false,1,18.6878,Progressive,0,0.3500,
1.000,3.6620,0.6893,0,0.0,false,1,18.5589,Progressive,0,0.3500,
1.051,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.384
1.101,3.6782,-0.0237,0,0.0,false,1,18.2414,Progressive,0,0.3500,
1.218,3.6950,0.3111,0,0.0,false,1,18.2042,Progressive,0,0.3500,
1.285,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.617
1.335,3.6847,-0.3398,0,0.0,false,1,18.2661,Progressive,0,0.3500,
1.451,3.6648,-0.0042,0,0.0,false,1,18.3075,Progressive,0,0.3500,
1.552,3.6786,0.2787,0,0.0,false,1,18.2778,Progressive,0,0.3500,
1.601,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.934
1.668,3.6463,-0.3850,0,0.0,false,1,18.4708,Progressive,0,0.3500,
1.768,3.6216,-0.1122,0,0.0,false,1,18.5179,Progressive,0,0.3500,
1.851,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,1.184
1.884,3.5771,-0.8055,0,0.0,false,1,19.0288,Progressive,0,0.3500,
1.985,3.5083,-0.5638,0,0.0,false,1,19.1266,Progressive,0,0.3500,
2.085,3.4625,-0.3548,0,0.0,true,1,19.1822,Progressive,0,0.3500,
2.201,3.4340,-0.1378,0,0.0,true,1,19.2130,Progressive,0,0.3500,
2.318,3.4299,0.0657,0,0.0,true,1,19.2173,Progressive,0,0.3500,
2.417,0.0,0.0,1,1.00,false,1,,Progressive,0,0.3500,0.000
2.418,3.4283,-0.7573,0,0.0,true,1,19.5063,Progressive,0,0.3500,
2.535,3.3518,-0.5630,0,0.0,true,1,19.5625,Progressive,0,0.3500,
2.651,3.2955,-0.4103,0,0.0,true,1,19.5883,Progressive,0,0.3500,
2.768,3.2549,-0.2883,0,0.0,true,1,19.5987,Progressive,0,0.3500,
2.885,3.2273,-0.1889,0,0.0,true,1,19.6018,Progressive,0,0.3500,
3.001,3.2103,-0.1043,0,0.0,true,1,19.6023,Progressive,0,0.3500,
3.101,3.2032,-0.0390,0,0.0,true,1,19.6022,Progressive,0,0.3500,
3.218,3.2028,0.0331,0,0.0,true,1,19.6021,Progressive,0,0.3500,
3.318,3.2092,0.0952,0,0.0,true,1,19.6021,Progressive,0,0.3500,
3.435,3.2248,0.1723,0,0.0,true,1,19.6009,Progressive,0,0.3500,
3.551,3.2496,0.2586,0,0.0,true,2,19.5962,Progressive,0,0.3500,
3.651,3.2800,0.3458,0,0.0,true,2,19.5860,Progressive,0,0.3500,
3.768,3.3271,0.4664,0,0.0,true,2,19.5605,Progressive,0,0.3500,
3.885,3.3899,0.6155,0,0.0,true,2,19.5085,Progressive,0,0.3500,
3.918,0.0,0.0,1,1.00,false,2,,Progressive,0,0.3500,0.000
3.985,3.3761,-0.2279,0,0.0,true,2,19.3775,Progressive,0,0.3500,
4.101,3.3595,-0.0577,0,0.0,true,2,19.3896,Progressive,0,0.3500,
4.205,3.3610,0.0853,0,0.0,true,2,19.3885,Progressive,0,0.3500,
4.268,0.0,0.0,1,1.00,false,2,,Progressive,0,0.3500,0.000
4.318,3.3133,-0.7521,0,0.0,true,2,19.7586,Progressive,0,0.3500,
4.434,3.2340,-0.6242,0,0.0,true,2,19.7729,Progressive,0,0.3500,
4.550,3.1665,-0.5403,0,0.0,true,2,19.7629,Progressive,0,0.3500,
4.667,3.1065,-0.4949,0,0.0,true,2,19.7364,Progressive,0,0.3500,
4.785,3.0493,-0.4840,0,0.0,true,2,19.6954,Progressive,0,0.3500,
4.885,3.0002,-0.5010,0,0.0,true,2,19.6477,Progressive,0,0.3500,
4.917,0.0,0.0,-1,1.00,false,2,,Progressive,0,0.3500,0.000
4.985,3.0313,0.4581,0,0.0,true,2,19.6653,Progressive,0,0.3500,
5.102,3.0832,0.4353,0,0.0,true,2,19.6980,Progressive,0,0.3500,
5.218,3.1341,0.4424,0,0.0,true,2,19.7176,Progressive,0,0.3500,
5.335,3.1875,0.4794,0,0.0,true,2,19.7246,Progressive,0,0.3500,
5.451,3.2471,0.5478,0,0.0,true,2,19.7155,Progressive,0,0.3500,
5.568,3.3167,0.6516,0,0.0,true,3,19.6823,Progressive,0,0.3500,
5.685,3.4066,0.9275,0,0.0,true,3,19.7078,Progressive,0,0.3500,
5.751,0.0,0.0,1,1.00,false,3,,Progressive,0,0.3500,0.000
5.801,3.4856,0.5648,0,0.0,true,3,19.2046,Progressive,0,0.3500,
5.918,3.6108,1.5337,0,0.0,false,3,19.7358,Progressive,0,0.3500,
5.968,0.0,0.0,1,1.00,false,3,,Progressive,0,0.3500,0.050
6.034,3.7869,1.8523,0,0.0,false,3,19.3627,Progressive,0,0.3500,
6.135,4.0513,3.2535,0,0.0,false,3,21.1260,Progressive,0,0.3500,
6.235,4.4671,4.8932,0,0.0,false,3,24.1643,Progressive,0,0.3500,
6.284,0.0,0.0,1,1.00,false,3,,Progressive,0,0.3500,0.367
