timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.067,2.6459,1.4466,0,0.0,false,1,19.4857,Free Play,0,0.3500,,Tutorial,0.0000
0.183,2.8006,1.2162,0,0.0,true,1,19.7947,Free Play,0,0.3500,,Tutorial,0.0000
0.284,2.9157,1.0847,0,0.0,true,1,19.9590,Free Play,0,0.3500,,Tutorial,0.0000
0.401,3.0366,1.0015,0,0.0,true,1,20.0675,Free Play,0,0.3500,,Tutorial,0.0000
0.517,3.1520,0.9876,0,0.0,true,1,20.1071,Free Play,0,0.3500,,Tutorial,0.0000
0.633,3.2691,1.0404,0,0.0,true,1,20.0815,Free Play,0,0.3500,,Tutorial,0.0000
0.733,3.3777,1.1402,0,0.0,true,1,19.9977,Free Play,0,0.3500,,Tutorial,0.0000
0.833,3.4990,1.2931,0,0.0,false,1,19.8362,Free Play,0,0.3500,,Tutorial,0.0000
0.950,3.6637,1.5439,0,0.0,false,1,19.5051,Free Play,0,0.3500,,Tutorial,-0.3000
1.068,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.234,,0.0000
1.069,3.7041,-1.2068,0,0.0,false,1,18.8368,Free Play,0,0.3500,,Tutorial,-0.3000
1.183,3.5464,-1.1753,0,0.0,false,1,19.5178,Free Play,0,0.3500,,Tutorial,0.0000
1.284,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.450,,0.0000
1.285,3.4213,-1.9456,0,0.0,true,1,21.1315,Free Play,0,0.3500,,Tutorial,0.0000
1.400,3.2083,-1.7684,0,0.0,true,1,21.1619,Free Play,0,0.3500,,Tutorial,0.0000
1.500,3.0349,-1.7126,0,0.0,true,1,21.0306,Free Play,0,0.3500,,Tutorial,0.0000
1.617,2.8338,-1.7554,0,0.0,true,1,20.6997,Free Play,0,0.3500,,Tutorial,0.0000
1.733,2.6210,-1.9101,0,0.0,false,1,20.1448,Free Play,0,0.3500,,Tutorial,0.3000
1.850,2.5230,-0.0774,0,0.0,false,1,17.8050,Free Play,0,0.3500,,Tutorial,0.3000
1.867,0.0,0.0,-1,1.00,false,1,,Free Play,0,0.3500,0.134,,0.0000
1.969,2.6994,1.5237,0,0.0,false,1,19.8372,Free Play,0,0.3500,,Tutorial,0.0000
2.033,0.0,0.0,-1,1.00,false,1,,Free Play,0,0.3500,0.300,,0.0000
2.083,2.9289,2.3224,0,0.0,true,1,22.0959,Free Play,0,0.3500,,Tutorial,0.0000
2.183,3.1571,2.2593,0,0.0,true,1,22.1711,Free Play,0,0.3500,,Tutorial,0.0000
2.283,3.3846,2.3094,0,0.0,true,1,21.9985,Free Play,0,0.3500,,Tutorial,0.0000
2.400,3.6641,2.5066,0,0.0,false,1,21.4526,Free Play,0,0.3500,,Tutorial,-0.3000
2.517,3.8360,0.7505,0,0.0,false,1,17.6301,Free Play,0,0.3500,,Tutorial,-0.3000
2.600,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.200,,0.0000
2.633,3.7628,-1.6490,0,0.0,false,1,19.1470,Free Play,0,0.3500,,Tutorial,0.2095
2.734,3.6201,-1.4180,0,0.0,false,1,19.5234,Free Play,0,0.3500,,Tutorial,0.0000
2.850,3.4729,-1.1239,0,0.0,true,1,19.7180,Free Play,0,0.3500,,Tutorial,0.0000
2.950,3.3704,-0.9344,0,0.0,true,1,19.8008,Free Play,0,0.3500,,Tutorial,0.0000
3.067,3.2714,-0.7748,0,0.0,true,1,19.8377,Free Play,0,0.3500,,Tutorial,0.0000
3.167,3.1988,-0.6825,0,0.0,true,1,19.8369,Free Play,0,0.3500,,Tutorial,0.0000
3.283,3.1233,-0.6198,0,0.0,true,1,19.8104,Free Play,0,0.3500,,Tutorial,0.0000
3.383,3.0625,-0.6006,0,0.0,true,1,19.7697,Free Play,0,0.3500,,Tutorial,0.0000
3.500,2.9919,-0.6164,0,0.0,true,1,19.7003,Free Play,0,0.3500,,Tutorial,0.0000
3.600,2.9282,-0.6624,0,0.0,true,1,19.6170,Free Play,0,0.3500,,Tutorial,0.0000
3.717,2.8460,-0.7557,0,0.0,true,1,19.4800,Free Play,0,0.3500,,Tutorial,0.0000
3.817,2.7648,-0.8728,0,0.0,false,1,19.3127,Free Play,0,0.3500,,Tutorial,0.0000
3.933,2.6527,-1.0577,0,0.0,false,1,19.0303,Free Play,0,0.3500,,Tutorial,0.0000
3.984,0.0,0.0,-1,1.00,false,1,,Free Play,0,0.3500,0.167,,0.0000
4.050,2.6874,0.8941,0,0.0,false,1,19.0250,Free Play,0,0.3500,,Tutorial,0.0000
4.150,2.7672,0.7087,0,0.0,false,1,19.1916,Free Play,0,0.3500,,Tutorial,0.0000
4.251,2.8309,0.5586,0,0.0,true,1,19.3062,Free Play,0,0.3500,,Tutorial,0.0000
4.367,2.8874,0.4228,0,0.0,true,1,19.3940,Free Play,0,0.3500,,Tutorial,0.0000
4.483,2.9302,0.3168,0,0.0,true,1,19.4518,Free Play,0,0.3500,,Tutorial,0.0000
4.584,2.9582,0.2447,0,0.0,true,1,19.4854,Free Play,0,0.3500,,Tutorial,0.0000
4.700,2.9826,0.1774,0,0.0,true,1,19.5121,Free Play,0,0.3500,,Tutorial,0.0000
4.817,3.0001,0.1235,0,0.0,true,1,19.5295,Free Play,0,0.3500,,Tutorial,0.0000
4.918,3.0105,0.0846,0,0.0,true,1,19.5394,Free Play,0,0.3500,,Tutorial,0.0000
5.035,3.0181,0.0458,0,0.0,true,1,19.5463,Free Play,0,0.3500,,Tutorial,0.0000
5.151,3.0214,0.0111,0,0.0,true,1,19.5493,Free Play,0,0.3500,,Tutorial,0.0000
5.251,3.0210,-0.0174,0,0.0,true,1,19.5490,Free Play,0,0.3500,,Tutorial,0.0000
5.367,3.0171,-0.0510,0,0.0,true,1,19.5454,Free Play,0,0.3500,,Tutorial,0.0000
5.468,3.0104,-0.0822,0,0.0,true,1,19.5391,Free Play,0,0.3500,,Tutorial,0.0000
5.568,3.0005,-0.1166,0,0.0,true,1,19.5293,Free Play,0,0.3500,,Tutorial,0.0000
5.684,2.9843,-0.1631,0,0.0,true,1,19.5122,Free Play,0,0.3500,,Tutorial,0.0000
5.784,2.9657,-0.2108,0,0.0,true,2,19.4908,Free Play,0,0.3500,,Tutorial,0.0000
5.884,2.9418,-0.2679,0,0.0,true,2,19.4607,Free Play,0,0.3500,,Tutorial,0.0000
6.001,2.9059,-0.3498,0,0.0,true,2,19.4100,Free Play,0,0.3500,,Tutorial,0.0000
6.118,2.8594,-0.4526,0,0.0,true,2,19.3345,Free Play,0,0.3500,,Tutorial,0.0000
6.217,0.0,0.0,-1,1.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
6.218,2.8267,0.4337,0,0.0,true,2,19.2317,Free Play,0,0.3500,,Tutorial,0.0000
6.333,2.8683,0.2955,0,0.0,true,2,19.2997,Free Play,0,0.3500,,Tutorial,0.0000
6.450,2.8957,0.1774,0,0.0,true,2,19.3408,Free Play,0,0.3500,,Tutorial,0.0000
6.567,2.9103,0.0737,0,0.0,true,2,19.3615,Free Play,0,0.3500,,Tutorial,0.0000
6.683,2.9132,-0.0227,0,0.0,true,2,19.3656,Free Play,0,0.3500,,Tutorial,0.0000
6.783,2.9069,-0.1047,0,0.0,true,2,19.3565,Free Play,0,0.3500,,Tutorial,0.0000
6.884,2.8920,-0.1907,0,0.0,true,2,19.3343,Free Play,0,0.3500,,Tutorial,0.0000
7.000,2.8638,-0.2992,0,0.0,true,2,19.2886,Free Play,0,0.3500,,Tutorial,0.0000
7.100,2.8286,-0.4060,0,0.0,true,2,19.2260,Free Play,0,0.3500,,Tutorial,0.0000
7.200,2.7819,-0.5304,0,0.0,false,2,19.1327,Free Play,0,0.3500,,Tutorial,0.0000
7.267,0.0,0.0,-1,1.00,false,2,,Free Play,0,0.3500,0.067,,0.0000
7.317,2.7769,0.2940,0,0.0,false,2,19.0181,Free Play,0,0.3500,,Tutorial,0.0000
7.417,2.7989,0.1480,0,0.0,true,2,19.0606,Free Play,0,0.3500,,Tutorial,0.0000
7.518,2.8069,0.0111,0,0.0,true,2,19.0757,Free Play,0,0.3500,,Tutorial,0.0000
7.634,2.7991,-0.1442,0,0.0,true,2,19.0607,Free Play,0,0.3500,,Tutorial,0.0000
7.735,2.7778,-0.2817,0,0.0,false,2,19.0177,Free Play,0,0.3500,,Tutorial,0.0000
7.834,0.0,0.0,-1,1.00,false,2,,Free Play,0,0.3500,0.099,,0.0000
7.836,2.7604,0.5660,0,0.0,false,2,19.0760,Free Play,0,0.3500,,Tutorial,0.0000
7.951,2.8151,0.3930,0,0.0,true,2,19.1789,Free Play,0,0.3500,,Tutorial,0.0000
8.068,2.8521,0.2460,0,0.0,true,2,19.2421,Free Play,0,0.3500,,Tutorial,0.0000
8.168,2.8711,0.1357,0,0.0,true,2,19.2725,Free Play,0,0.3500,,Tutorial,0.0000
8.284,2.8800,0.0176,0,0.0,true,2,19.2863,Free Play,0,0.3500,,Tutorial,0.0000
8.400,2.8754,-0.0957,0,0.0,true,2,19.2792,Free Play,0,0.3500,,Tutorial,0.0000
8.500,2.8609,-0.1963,0,0.0,true,2,19.2552,Free Play,0,0.3500,,Tutorial,0.0000
8.517,0.0,0.0,-1,1.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
8.617,2.9471,0.6864,0,0.0,true,2,19.6707,Free Play,0,0.3500,,Tutorial,0.0000
8.717,3.0125,0.6244,0,0.0,true,2,19.7333,Free Play,0,0.3500,,Tutorial,0.0000
8.833,3.0830,0.5924,0,0.0,true,2,19.7787,Free Play,0,0.3500,,Tutorial,0.0000
8.934,3.1424,0.5975,0,0.0,true,2,19.7985,Free Play,0,0.3500,,Tutorial,0.0000
9.050,3.2142,0.6409,0,0.0,true,2,19.7996,Free Play,0,0.3500,,Tutorial,0.0000
