timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
1.150,0.0,0.0,-1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.534,0.0,0.0,-1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.850,0.0,0.0,-1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.067,0.0,0.0,-1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.251,0.0,0.0,-1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.467,0.0,0.0,-1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.986,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.134,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.368,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.601,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.934,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.250,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.951,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.134,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.618,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.985,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.434,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.634,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.984,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.200,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.483,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.768,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.567,0.0,0.0,-1,1.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.634,0.0,0.0,1,1.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
10.267,0.0,0.0,1,1.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
10.618,0.0,0.0,1,1.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
11.433,0.0,0.0,-1,1.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
12.184,0.0,0.0,-1,1.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
12.501,0.0,0.0,-1,1.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
12.767,0.0,0.0,-1,1.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
13.167,0.0,0.0,-1,1.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
13.734,0.0,0.0,1,1.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
13.917,0.0,0.0,1,1.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
14.284,0.0,0.0,1,1.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
15.067,0.0,0.0,1,1.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
15.251,0.0,0.0,1,1.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
15.635,0.0,0.0,1,1.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
16.584,0.0,0.0,1,1.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
17.601,0.0,0.0,1,1.00,false,4,,Free Play,0,0.3500,0.000,,0.0000
17.967,0.0,0.0,1,1.00,false,4,,Free Play,0,0.3500,0.000,,0.0000
18.167,0.0,0.0,1,1.00,false,4,,Free Play,0,0.3500,0.000,,0.0000
18.601,0.0,0.0,1,1.00,false,4,,Free Play,0,0.3500,0.000,,0.0000
19.333,0.0,0.0,-1,1.00,false,4,,Free Play,0,0.3500,0.000,,0.0000
19.517,0.0,0.0,-1,1.00,false,4,,Free Play,0,0.3500,0.000,,0.0000
20.118,0.0,0.0,-1,1.00,false,4,,Free Play,0,0.3500,0.000,,0.0000
20.434,0.0,0.0,-1,1.00,false,4,,Free Play,0,0.3500,0.000,,0.0000
20.717,0.0,0.0,-1,1.00,false,4,,Free Play,0,0.3500,0.000,,0.0000
21.001,0.0,0.0,-1,1.00,false,4,,Free Play,0,0.3500,0.000,,0.0000
21.217,0.0,0.0,-1,1.00,false,4,,Free Play,0,0.3500,0.000,,0.0000
21.401,0.0,0.0,-1,1.00,false,4,,Free Play,0,0.3500,0.000,,0.0000
21.600,0.0,0.0,-1,1.00,false,4,,Free Play,0,0.3500,0.000,,0.0000
21.800,0.0,0.0,-1,1.00,false,4,,Free Play,0,0.3500,0.000,,0.0000
