timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime
0.651,0.0,0.0,1,1.00,false,1,,Timed,0,0.3500,0.000
1.134,0.0,0.0,1,1.00,false,1,,Timed,0,0.3500,0.000
1.434,0.0,0.0,1,1.00,false,1,,Timed,0,0.3500,0.000
1.618,0.0,0.0,1,1.00,false,1,,Timed,0,0.3500,0.000
1.801,0.0,0.0,1,1.00,false,1,,Timed,0,0.3500,0.000
1.934,0.0,0.0,1,1.00,false,1,,Timed,0,0.3500,0.000
2.734,0.0,0.0,-1,1.00,false,1,,Timed,0,0.3500,0.000
2.900,0.0,0.0,-1,1.00,false,1,,Timed,0,0.3500,0.000
3.067,0.0,0.0,-1,1.00,false,1,,Timed,0,0.3500,0.000
3.234,0.0,0.0,-1,1.00,false,1,,Timed,0,0.3500,0.000
3.400,0.0,0.0,-1,1.00,false,1,,Timed,0,0.3500,0.000
4.101,3.2130,0.7904,0,0.0,true,1,19.9074,Timed,0,0.3500,
4.201,3.2953,0.8613,0,0.0,true,1,19.8753,Timed,0,0.3500,
4.317,3.4030,0.9958,0,0.0,true,1,19.7826,Timed,0,0.3500,
4.367,0.0,0.0,1,1.00,false,1,,Timed,0,0.3500,0.000
4.418,3.4439,0.1633,0,0.0,true,1,19.1886,Timed,0,0.3500,
4.534,3.4751,0.3750,0,0.0,true,1,19.1497,Timed,0,0.3500,
4.634,3.5408,0.8475,0,0.0,false,1,19.2079,Timed,0,0.3500,
4.700,0.0,0.0,1,1.00,false,1,,Timed,0,0.3500,0.065
4.751,3.5881,0.1202,0,0.0,false,1,18.6654,Timed,0,0.3500,
4.867,3.6186,0.4074,0,0.0,false,1,18.6081,Timed,0,0.3500,
4.967,3.6723,0.6693,0,0.0,false,1,18.4945,Timed,0,0.3500,
5.017,0.0,0.0,1,1.00,false,1,,Timed,0,0.3500,0.382
5.083,3.6865,0.0066,0,0.0,false,1,18.1995,Timed,0,0.3500,
5.183,3.7017,0.2973,0,0.0,false,1,18.1654,Timed,0,0.3500,
5.200,0.0,0.0,1,1.00,false,1,,Timed,0,0.3500,0.566
5.284,3.6461,-0.4049,0,0.0,false,1,18.4797,Timed,0,0.3500,
5.401,0.0,0.0,1,1.00,false,1,,Timed,0,0.3500,0.766
5.403,3.5986,-1.0807,0,0.0,false,1,19.1971,Timed,0,0.3500,
5.517,3.4916,-0.7998,0,0.0,false,1,19.3450,Timed,0,0.3500,
5.618,3.4219,-0.5998,0,0.0,true,1,19.4171,Timed,0,0.3500,
5.734,3.3635,-0.4075,0,0.0,true,1,19.4625,Timed,0,0.3500,
5.834,3.3299,-0.2680,0,0.0,true,1,19.4826,Timed,0,0.3500,
5.934,3.3093,-0.1443,0,0.0,true,1,19.4927,Timed,0,0.3500,
6.034,3.3007,-0.0301,0,0.0,true,1,19.4966,Timed,0,0.3500,
6.151,3.3047,0.0987,0,0.0,true,1,19.4947,Timed,0,0.3500,
6.254,3.3208,0.2149,0,0.0,true,1,19.4861,Timed,0,0.3500,
6.351,0.0,0.0,1,1.00,false,1,,Timed,0,0.3500,0.000
6.368,3.3198,-0.6421,0,0.0,true,1,19.6708,Timed,0,0.3500,
6.468,3.2615,-0.5249,0,0.0,true,1,19.6873,Timed,0,0.3500,
6.584,3.2067,-0.4242,0,0.0,true,1,19.6892,Timed,0,0.3500,
6.684,3.1675,-0.3624,0,0.0,true,1,19.6824,Timed,0,0.3500,
6.801,3.1282,-0.3145,0,0.0,true,1,19.6686,Timed,0,0.3500,
6.901,3.0981,-0.2914,0,0.0,true,1,19.6532,Timed,0,0.3500,
7.018,3.0647,-0.2833,0,0.0,true,1,19.6312,Timed,0,0.3500,
7.134,3.0312,-0.2944,0,0.0,true,2,19.6037,Timed,0,0.3500,
7.251,2.9953,-0.3251,0,0.0,true,2,19.5681,Timed,0,0.3500,
7.351,2.9608,-0.3681,0,0.0,true,2,19.5278,Timed,0,0.3500,
7.468,2.9138,-0.4402,0,0.0,true,2,19.4635,Timed,0,0.3500,
7.584,2.8570,-0.5396,0,0.0,true,2,19.3709,Timed,0,0.3500,
7.701,2.7866,-0.6719,0,0.0,false,2,19.2340,Timed,0,0.3500,
7.818,2.6987,-0.8435,0,0.0,false,2,19.0291,Timed,0,0.3500,
7.884,0.0,0.0,-1,1.00,false,2,,Timed,0,0.3500,0.183
7.918,2.6550,-0.0328,0,0.0,false,2,18.4818,Timed,0,0.3500,
